Turkish,Farsi
ab,آب
abadi,آبادی
abanoz,آبنوس
abat,آباد
abdest,آبدست
abdesthane,آبدست
afacan,آفت
aferin,آفرین
âfitab,آفتاب
afsun,افسون
âgâh,آگاه
aguş,آغوش
ahar,آهار
ahır,آخور
ahenk,آهنگ
ahenktar,آهنگدار
aheste,آهسته
ahu,آهو
ahund,آخوند
âlâyiş,آلایش
alıç,آلوچه
amaç,آماج
amade,آماده
ambar,انبار
arasta,آراسته
arış,آرش
armudi,امرودی
armudiye,امرودیه
armut,امرود
arzu,آرزو
asayiş,آسایش
astar,آستر
asude,آسوده
asuman,آسمان
aşikâr,آشکار
aşikâre,آشکارا
aşina,آشنا
aşiyan,آشیان
aşüfte,آشفته
ateş,آتش
ateşbaz,آتش
ateşin,آتشین
ateşperest,آتشپرست
avare,آواره
avaz,آواز
avize,آویز
ayin,آیین
ayinecem,آیین
ayna,آینه
azade,آزاده
azar,آزار
azat,آزاد
azer,آذر
Azeri,آذری
baca,باجه
bacak,پاچه
baç,باج
bad,باد
bade,باده
badem,بادام
badısaba,باد
bağ,باغ
bahadır,بهادر
Bahai,بهائی
bahane,بهانه
bahar,بهار
bahariye,بهاریه
bahçe,باغچه
bahçıvan,باغچه
bahşiş,بخشش
baht,بخت
bahtiyar,بختیار
bahusus,باخصوص
balar,بالار
bamya,بامیه
bânû,بانو
baran,باران
bargâh,بارگاه
barhane,بارخانه
bari,باری
barudi,بارودی
barut,بارود
baruthane,بارود
bayati,بیاتی
bayatiaraban,بیاتی
baziçe,بازیچه
becayiş,بجایش
bed,بد
bedava,بادهوا
bedbaht,بدبخت
bedbin,بدبین
bedesten,بزستان
bedhah,بد
bednam,بدنام
behemehâl,به
beher,به
behişt,بهشت
behram,بهرام
behre,بهره
bel,بل
beli,بلی
bende,بنده
bendegân,بندگان
bendehane,بنده
bendezade,بنده
bent,بند
beraber,برابر
berbat,برباد
berber,بربر
berceste,برجسته
berduş,بردوش
bergüzar,برگزار
berhane,بارخانه
berhudar,برخوردار
berna,برنا
beste,بسته
bestekâr,بسته
bestenigâr,بسته
beşe,بشه
beşme,بشمه
beter,بدتر
